Name1,Name2,Red,Gree,Blue,
Black,Black,0,0,0,
Black90,90% Black,25,25,25,
Black80,80% Black,51,51,51,
Black70,70% Black,77,77,77,
Black60,60% Black,102,102,102,
Black50,50% Black,128,128,128,
Black40,40% Black,153,153,153,
Black30,30% Black,179,179,179,
Black20,20% Black,204,204,204,
Black10,10% Black,230,230,230,
White,White,255,255,255,
Blue,Blue,0,0,255,
Cyan,Cyan,0,255,255,
Green,Green,0,255,0,
Yellow,Yellow,255,255,0,
Red,Red,255,0,0,
Magenta,Magenta,255,0,255,
Purple,Purple,153,0,204,
Orange,Orange,255,102,0,
Pink,Pink,255,153,204,
DarkBrown,Dark Brown,102,51,51,
PowderBlue,Powder Blue,204,204,255,
PastelBlue,Pastel Blue,153,153,255,
BabyBlue,Baby Blue,102,153,255,
ElectricBlue,Electric Blue,102,102,255,
TwilightBlue,Twilight Blue,102,102,204,
NavyBlue,Navy Blue,0,51,153,
DeepNavyBlue,Deep Navy Blue,0,0,102,
DesertBlue,Desert Blue,51,102,153,
SkyBlue,Sky Blue,0,204,255,
IceBlue,Ice Blue,153,255,255,
LightBlueGreen,Light BlueGreen,153,204,204,
OceanGreen,Ocean Green,102,153,153,
MossGreen,Moss Green,51,102,102,
DarkGreen,Dark Green,0,51,51,
ForestGreen,Forest Green,0,102,51,
DarkBlueGreen,Dark Blue Green,0,128,0,
GrassGreen,Grass Green,0,153,51,
KentuckyGreen,Kentucky Green,51,153,102,
LightGreen,Light Green,51,204,102,
SpringGreen,Spring Green,51,204,51,
Turquoise,Turquoise,102,255,204,
SeaGreen,Sea Green,51,204,153,
FadedGreen,Faded Green,153,204,153,
GhostGreen,Ghost Green,204,255,204,
MintGreen,Mint Green,153,255,153,
ArmyGreen,Army Green,102,153,102,
AvocadoGreen,Avocado Green,102,153,51,
MartianGreen,Martian Green,153,204,51,
DullGreen,Dull Green,153,204,102,
Chartreuse,Chartreuse,153,255,0,
MoonGreen,Moon Green,204,255,102,
MurkyGreen,Murky Green,51,51,0,
OliveDrab,Olive Drab,102,102,51,
Khaki,Khaki,153,153,102,
Olive,Olive,153,153,51,
BananaYellow,Banana Yellow,204,204,51,
LightYellow,Light Yellow,255,255,102,
Chalk,Chalk,255,255,153,
PaleYellow,Pale Yellow,255,255,204,
Brown,Brown,153,102,51,
RedBrown,Red Brown,204,102,51,
Gold,Gold,204,153,51,
AutumnOrange,Autumn Orange,255,102,51,
LightOrange,Light Orange,255,153,51,
Peach,Peach,255,153,102,
DeepYellow,Deep Yellow,255,204,0,
Sand,Sand,255,204,153,
Walnut,Walnut,102,51,0,
RubyRed,Ruby Red,153,0,0,
BrickRed,Brick Red,204,51,0,
TropicalPink,Tropical Pink,255,102,102,
SoftPink,Soft Pink,255,153,153,
FadedPink,Faded Pink,255,204,204,
DarkRed,Dark Red,128,0,0,
Crimson,Crimson,153,51,102,
RegalRed,Regal Red,204,51,102,
DeepRose,Deep Rose,204,51,153,
NeonRed,Neon Red,255,0,102,
DeepPink,Deep Pink,255,102,153,
HotPink,Hot Pink,255,51,153,
DustyRose,Dusty Rose,204,102,153,
Plum,Plum,102,0,102,
DeepViolet,Deep Violet,153,0,153,
LightViolet,Light Violet,255,153,255,
Violet,Violet,204,102,204,
DustyPlum,Dusty Plum,153,102,153,
PalePurple,Pale Purple,204,153,204,
MajesticPurple,Majestic Purple,153,51,204,
NeonPurple,Neon Purple,204,51,255,
LightPurple,Light Purple,204,102,255,
TwilightViolet,Twilight Violet,153,102,204,
EasterPurple,Easter Purple,204,153,255,
DeepPurple,Deep Purple,51,0,102,
Grape,Grape,102,51,153,
BlueViolet,Blue Violet,153,102,255,
BluePurple,Blue Purple,153,0,255,
DeepRiver,Deep River,102,0,204,
DeepAzure,Deep Azure,102,51,255,
StormBlue,Storm Blue,51,0,153,
DeepBlue,Deep Blue,51,0,204,
DarkBlue,Dark Blue,0,0,128,
